Nº do Processo,Data da Homologação,Modalidade,Nº da Modalidade,Licitantes Vencedores,Valor Total Licitado,Objeto,Unidade Orcamentaria,Query objetos e empresas,Empresas participantes,Valor total por empresa,Empresas frequentes,Num Participações,Empresa com participação Única,UASG
11433 - 2016,15/06/2016,1 - CONVITE,266,PARREIRA AGRICOLA LTDA - EPP,2640,"aquisição da FRALDA DESCARTÁVEL GERIÁTRICA TAMANHO G NOTURNA, pacote com 8 unidades, atendendo determinação judicial, através da Secretaria Municipal de Saúde.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com aquisição da FRALDA DESCARTÁVEL GERIÁTRICA TAMANHO G NOTURNA, pacote com 8 unidades, atendendo determinação judicial, através da Secretaria Municipal de Saúde.",,,,,,Prefeitura Municipal de Uberlândia
20366 - 2016,18/11/2016,5 - PREGÃO PRESENCIAL,539,D C J MAQUINAS AGRICOLAS LTDA-ME,103227,"aquisição de 1 trator agrícola novo, em atendimento à Secretaria Municipal de Agropecuária e Abastecimento.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com aquisição de 1 trator agrícola novo, em atendimento à Secretaria Municipal de Agropecuária e Abastecimento.",,,,,,Prefeitura Municipal de Uberlândia
3613 - 2016,7/7/2016,1 - CONVITE,97,GARDENIA ANDRADE FONTOURA - ME,730,"serviço de limpeza, desinfecção química, desinsetização pulverizada e desratização nas dependências do mercado municipal, em atendimento a Secretaria de Agropecuária e Abastecimento.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com serviço de limpeza, desinfecção química, desinsetização pulverizada e desratização nas dependências do mercado municipal, em atendimento a Secretaria de Agropecuária e Abastecimento.",,,,,,Prefeitura Municipal de Uberlândia
3613 - 2016,7/7/2016,1 - CONVITE,97,A SOS DEDETIZADORA E DESENTUPIDORA LTDA - ME,360,"serviço de limpeza, desinfecção química, desinsetização pulverizada e desratização nas dependências do mercado municipal, em atendimento a Secretaria de Agropecuária e Abastecimento.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com serviço de limpeza, desinfecção química, desinsetização pulverizada e desratização nas dependências do mercado municipal, em atendimento a Secretaria de Agropecuária e Abastecimento.",,,,,,Prefeitura Municipal de Uberlândia
9414 - 2016,12/8/2016,5 - PREGÃO PRESENCIAL,228,ATITUDE COMERCIAL EIRELI - ME,14000,"aquisição de ração e feno para equinos, em atendimento às Secretaria Municial de Agropecuária e Abastecimento e Secretaria Municipal de Educação.",Secretaria Municipal de Agropecuária e Abastecimento,"Qual o valor gasto com aquisição de ração e feno para equinos, em atendimento às Secretaria Municial de Agropecuária e Abastecimento e Secretaria Municipal de Educação.",,,,,,Prefeitura Municipal de Uberlândia
29774 - 2014,24//2015,5 - PREGÃO PRESENCIAL,984,COMERCIAL MACKEY LTDA - ME,190.8,"futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Comunicação Social,"Qual o valor gasto com futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
29774 - 2014,24//2015,5 - PREGÃO PRESENCIAL,984,COMIGO COMERCIAL MINAS GOIAS LTDA - EPP,50.7,"futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Comunicação Social,"Qual o valor gasto com futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
29774 - 2014,24//2015,5 - PREGÃO PRESENCIAL,984,LM COMERCIO LTDA - ME,33.5,"futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Comunicação Social,"Qual o valor gasto com futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
30463 - 2014,01//2015,5 - PREGÃO PRESENCIAL,1010,MIDIAPEL PAPELARIA E INFORMATICA LTDA - ME,14,"futuro ou e eventual fornecimento de materiais de escritório (agenda, almofada para carimbo, apontador de lapis, caneta etc), em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Comunicação Social,"Qual o valor gasto com futuro ou e eventual fornecimento de materiais de escritório (agenda, almofada para carimbo, apontador de lapis, caneta etc), em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
30463 - 2014,01//2015,5 - PREGÃO PRESENCIAL,1010,ME COMERCIAL EIRELI,40.1,"futuro ou e eventual fornecimento de materiais de escritório (agenda, almofada para carimbo, apontador de lapis, caneta etc), em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Comunicação Social,"Qual o valor gasto com futuro ou e eventual fornecimento de materiais de escritório (agenda, almofada para carimbo, apontador de lapis, caneta etc), em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
30463 - 2014,01//2015,5 - PREGÃO PRESENCIAL,1010,OPCAO PAPEIS COMERCIO LTDA - ME,85.42,"futuro ou e eventual fornecimento de materiais de escritório (agenda, almofada para carimbo, apontador de lapis, caneta etc), em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Comunicação Social,"Qual o valor gasto com futuro ou e eventual fornecimento de materiais de escritório (agenda, almofada para carimbo, apontador de lapis, caneta etc), em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
15654 - 2016,03//2016,1 - CONVITE,386,ELETROTEL TECNOLOGIA LTDA - EPP,2100,"aquisição de fone headset monoauricular, em atendimento às Secretarias Municipais de Administração e de Comunicação Social.",Secretaria Municipal de Comunicação Social,"Qual o valor gasto com aquisição de fone headset monoauricular, em atendimento às Secretarias Municipais de Administração e de Comunicação Social.",,,,,,Prefeitura Municipal de Uberlândia
29106 - 2014,19/03/2015,5 - PREGÃO PRESENCIAL,963,CAPITAL SEGURANCA CONTRA INCENDIO UBERLANDIA LTDA - ME,9462.69,"fornecimento de recargas, testes hidrostáticos, pesagens e substituião de peças em estintores de incêndio, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Cultura,"Qual o valor gasto com fornecimento de recargas, testes hidrostáticos, pesagens e substituião de peças em estintores de incêndio, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
11638 - 2015,28/08/2015,5 - PREGÃO PRESENCIAL,197,COM TECH INFORMATICA LTDA,2350.16,futura ou eventual  locação de equipamentos de informática (microcomputadores e outros) em atendimento às Secretarias e aos Órgãos da Administração DIreta da Prefeitura Municipal de Uberlândia,Secretaria Municipal de Cultura,Qual o valor gasto com futura ou eventual  locação de equipamentos de informática (microcomputadores e outros) em atendimento às Secretarias e aos Órgãos da Administração DIreta da Prefeitura Municipal de Uberlândia,,,,,,Prefeitura Municipal de Uberlândia
11638 - 2015,28/08/2015,5 - PREGÃO PRESENCIAL,197,EMPRESA MINEIRA DE COMPUTADORES LTDA,2697.33,futura ou eventual  locação de equipamentos de informática (microcomputadores e outros) em atendimento às Secretarias e aos Órgãos da Administração DIreta da Prefeitura Municipal de Uberlândia,Secretaria Municipal de Cultura,Qual o valor gasto com futura ou eventual  locação de equipamentos de informática (microcomputadores e outros) em atendimento às Secretarias e aos Órgãos da Administração DIreta da Prefeitura Municipal de Uberlândia,,,,,,Prefeitura Municipal de Uberlândia
25343 - 2015,17/05/2016,5 - PREGÃO PRESENCIAL,677,LATICINIO TAQUARI LTDA,6760,"futura ou eventual aquisição de leite e manteiga, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Cultura,"Qual o valor gasto com futura ou eventual aquisição de leite e manteiga, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
25963 - 2015,14/01/2016,5 - PREGÃO PRESENCIAL,698,POSTO BRASILIA LTDA,15075,"aquisição de combustíveis (gasolina tipo C, óleo diesel, óleo diesel B S-10 e etanol hidratado), em atendimento às Secretarias Municipais de Saúde, de Cultura e Superintendência de Operações e manutenção.",Secretaria Municipal de Cultura,"Qual o valor gasto com aquisição de combustíveis (gasolina tipo C, óleo diesel, óleo diesel B S-10 e etanol hidratado), em atendimento às Secretarias Municipais de Saúde, de Cultura e Superintendência de Operações e manutenção.",,,,,,Prefeitura Municipal de Uberlândia
26245 - 2015,18/03/2016,5 - PREGÃO PRESENCIAL,706,CAMILA LOUISE DE SOUZA,3100,"prestação de serviços para ministrar oficinas, em atendimento à Secretaria Municipal de Cultura.",Secretaria Municipal de Cultura,"Qual o valor gasto com prestação de serviços para ministrar oficinas, em atendimento à Secretaria Municipal de Cultura.",,,,,,Prefeitura Municipal de Uberlândia
28515 - 2015,6/5/2016,5 - PREGÃO PRESENCIAL,822,EPS EMPREENDIMENTOS S/A,350,"futura e eventual prestação de serviços de hospedagem padrão 03 e 04 estrelas, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Cultura,"Qual o valor gasto com futura e eventual prestação de serviços de hospedagem padrão 03 e 04 estrelas, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
28519 - 2015,13/04/2016,5 - PREGÃO PRESENCIAL,825,C R BUFE E EVENTOS LTDA - ME,361.92,"futura ou eventual fornecimento de refeições à La Carte, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Cultura,"Qual o valor gasto com futura ou eventual fornecimento de refeições à La Carte, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",,,,,,Prefeitura Municipal de Uberlândia
29963 - 2015,25/05/2016,5 - PREGÃO PRESENCIAL,909,LILIAN CARLA PEREIRA - ME,6880,futuro ou eventual fornecimento de refeições em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.,Secretaria Municipal de Cultura,Qual o valor gasto com futuro ou eventual fornecimento de refeições em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.,,,,,,Prefeitura Municipal de Uberlândia
30127 - 2015,27/01/2016,5 - PREGÃO PRESENCIAL,917,JP LOCACAO DE ESTRUTURAS METALICAS LTDA,740000,"prestação de serviços para a realização do Carnaval/2016, com fornecimento de toda a estrutura, equipamentos, materiais e mão de obra (inclusive serviço de vigilância desarmada e brigadista), em atendimento à Secretaria Municipal de Cultura.",Secretaria Municipal de Cultura,"Qual o valor gasto com prestação de serviços para a realização do Carnaval/2016, com fornecimento de toda a estrutura, equipamentos, materiais e mão de obra (inclusive serviço de vigilância desarmada e brigadista), em atendimento à Secretaria Municipal de Cultura.",,,,,,Prefeitura Municipal de Uberlândia
30199 - 2015,25/08/2016,5 - PREGÃO PRESENCIAL,922,BUSCA PECAS COMERCIO LTDA - ME,7200,"prestação de serviços de manutenção e fornecimento de peças para equipamentos e máquinas elétricos e à gasolina/diesel, em atendimento à Secretaria Municipal de Obras e S. M. de Cultura.",Secretaria Municipal de Cultura,"Qual o valor gasto com prestação de serviços de manutenção e fornecimento de peças para equipamentos e máquinas elétricos e à gasolina/diesel, em atendimento à Secretaria Municipal de Obras e S. M. de Cultura.",,,,,,Prefeitura Municipal de Uberlândia
30411 - 2015,26/08/2016,5 - PREGÃO PRESENCIAL,944,LYNX ELEVADORES LTDA-ME,2400,"prestação de serviços de manutenção preventiva, conservação e assistência técnica em elevadores, em atendimento á Secretaria Municipal de Cultura.",Secretaria Municipal de Cultura,"Qual o valor gasto com prestação de serviços de manutenção preventiva, conservação e assistência técnica em elevadores, em atendimento á Secretaria Municipal de Cultura.",,,,,,Prefeitura Municipal de Uberlândia
10344 - 2016,9/8/2016,5 - PREGÃO PRESENCIAL,247,MARCELA PERIM DE MORAES LUCINDO - ME,24600,"locação, montagem e desmontagem de 40 metros de arquibancadas em atendimento à Secretaria Municipal de Cultura.",Secretaria Municipal de Cultura,"Qual o valor gasto com locação, montagem e desmontagem de 40 metros de arquibancadas em atendimento à Secretaria Municipal de Cultura.",,,,,,Prefeitura Municipal de Uberlândia
11856 - 2016,26/07/2016,5 - PREGÃO PRESENCIAL,285,C R BUFE E EVENTOS LTDA - ME,51590,"fornecimento de refeições, em atendimento à Superintendência da Igualdade Racial da Secretaria Municipal de Governo e à Secretaria Municipal de Cultura.",Secretaria Municipal de Cultura,"Qual o valor gasto com fornecimento de refeições, em atendimento à Superintendência da Igualdade Racial da Secretaria Municipal de Governo e à Secretaria Municipal de Cultura.",,,,,,Prefeitura Municipal de Uberlândia
